"n.trees","interaction.depth","shrinkage","MAE"
100,1,0.001,23.5711645160365
250,1,0.001,23.5324746355895
500,1,0.001,23.481016474229
100,2,0.001,23.5678881017602
250,2,0.001,23.5224725618197
500,2,0.001,23.4611234057336
100,3,0.001,23.5633937744708
250,3,0.001,23.5132858357235
500,3,0.001,23.4436917467821
100,4,0.001,23.5611844738705
250,4,0.001,23.5063392790518
500,4,0.001,23.4354750995789
100,1,0.01,23.4071050397864
250,1,0.01,23.3169862749252
500,1,0.01,23.2544991271944
100,2,0.01,23.3725911255815
250,2,0.01,23.2608379817655
500,2,0.01,23.2084516549202
100,3,0.01,23.3502297344541
250,3,0.01,23.2379767414052
500,3,0.01,23.1959771492207
100,4,0.01,23.3389203343289
250,4,0.01,23.2275614523389
500,4,0.01,23.1889229506001
100,1,0.05,23.2532566032948
250,1,0.05,23.2007703131264
500,1,0.05,23.1903687834317
100,2,0.05,23.210462944972
250,2,0.05,23.1826016503263
500,2,0.05,23.1721249399396
100,3,0.05,23.1961090783757
250,3,0.05,23.1757170864343
500,3,0.05,23.1624900126111
100,4,0.05,23.188322294063
250,4,0.05,23.1699754136959
500,4,0.05,23.1538152227201
100,1,0.1,23.209956072546
250,1,0.1,23.1898919759887
500,1,0.1,23.1864219130082
100,2,0.1,23.1856460341904
250,2,0.1,23.1719796276433
500,2,0.1,23.1599333097783
100,3,0.1,23.1797054119968
250,3,0.1,23.1609783870098
500,3,0.1,23.1482637942337
100,4,0.1,23.1724766020844
250,4,0.1,23.1549863162171
500,4,0.1,23.1418096225533
